target_position,decision_row,target_row,previous_price,target_price,raw_signal,weight,turnover,price_return,gross_score,fee_cost,slippage_cost,net_score,buy_hold_score,cash_score
65,2026-03-06 00:00:00+00:00,2026-03-07 00:00:00+00:00,108.85,109.25,0.621404599869118,0.621404599869118,0.621404599869118,0.0036747818098301632,0.0022835263201438256,0.000621404599869118,0.000310702299934559,0.0013514194203401485,0.002174781809830163,0.0
66,2026-03-07 00:00:00+00:00,2026-03-08 00:00:00+00:00,109.25,109.65,0.5994705695026973,0.5994705695026973,0.02193403036642072,0.0036613272311212253,0.002194857920375975,2.193403036642072e-05,1.096701518321036e-05,0.0021619568748263438,0.0036613272311212253,0.0
67,2026-03-08 00:00:00+00:00,2026-03-09 00:00:00+00:00,109.65,110.05,0.6467349034726585,0.6467349034726585,0.047264333969961214,0.003647970816233359,0.0023592700537077567,4.726433396996122e-05,2.363216698498061e-05,0.002288373552752815,0.003647970816233359,0.0
68,2026-03-09 00:00:00+00:00,2026-03-10 00:00:00+00:00,110.05,110.45,0.5512186182943233,0.5512186182943233,0.09551628517833521,0.0036347114947752335,0.0020035206480484985,9.551628517833521e-05,4.7758142589167605e-05,0.0018602462202809956,0.0036347114947752335,0.0
69,2026-03-10 00:00:00+00:00,2026-03-11 00:00:00+00:00,110.45,110.85,0.5251656934181248,0.5251656934181248,0.02605292487619848,0.003621548211860448,0.0019019128779288622,2.605292487619848e-05,1.302646243809924e-05,0.0018628334906145643,0.003621548211860448,0.0
70,2026-03-11 00:00:00+00:00,2026-03-12 00:00:00+00:00,110.85,111.25,0.6391336097759975,0.6391336097759975,0.11396791635787273,0.0036084799278304214,0.002306300802078488,0.00011396791635787274,5.698395817893637e-05,0.002135348927541679,0.0036084799278304214,0.0
71,2026-03-12 00:00:00+00:00,2026-03-13 00:00:00+00:00,111.25,111.65,0.5831380359330293,0.5831380359330293,0.05599557384296827,0.0035955056179775013,0.002096676084253573,5.599557384296827e-05,2.7997786921484135e-05,0.00201268272348912,0.0035955056179775013,0.0
72,2026-03-13 00:00:00+00:00,2026-03-14 00:00:00+00:00,111.65,109.8,0.6460267301932495,0.6460267301932495,0.06288869426022026,-0.016569637259292502,-0.010704428579108971,6.288869426022026e-05,3.144434713011013e-05,-0.010798761620499302,-0.016569637259292502,0.0
73,2026-03-14 00:00:00+00:00,2026-03-15 00:00:00+00:00,109.8,110.2,0.7029501996859032,0.7029501996859032,0.0569234694926537,0.0036429872495447047,0.0025608386145206494,5.69234694926537e-05,2.846173474632685e-05,0.0024754534102816687,0.0036429872495447047,0.0
74,2026-03-15 00:00:00+00:00,2026-03-16 00:00:00+00:00,110.2,110.6,0.6212149124719446,0.6212149124719446,0.08173528721395862,0.003629764065335772,0.0022548635661413714,8.173528721395862e-05,4.086764360697931e-05,0.0021322606353204334,0.003629764065335772,0.0
75,2026-03-16 00:00:00+00:00,2026-03-17 00:00:00+00:00,110.6,111.0,0.5992841909571095,0.5992841909571095,0.021930721514835105,0.003616636528029016,0.0021673930956857984,2.1930721514835107e-05,1.0965360757417553e-05,0.002134497013413546,0.003616636528029016,0.0
76,2026-03-17 00:00:00+00:00,2026-03-18 00:00:00+00:00,111.0,111.4,0.5132199574526042,0.5132199574526042,0.08606423350450532,0.003603603603603567,0.0018494412881174737,8.606423350450532e-05,4.303211675225266e-05,0.0017203449378607157,0.003603603603603567,0.0
77,2026-03-18 00:00:00+00:00,2026-03-19 00:00:00+00:00,111.4,111.8,0.6177064801010713,0.6177064801010713,0.10448652264846714,0.0035906642728904536,0.0022179765892318347,0.00010448652264846714,5.224326132423357e-05,0.002061246805259134,0.0035906642728904536,0.0
